m, real, imag
1000,0.285028,-0.249177
1001,0.286344,-0.23854
1002,0.287598,-0.227946
1003,0.288792,-0.217394
1004,0.289927,-0.206881
1005,0.291002,-0.196405
1006,0.292018,-0.185965
1007,0.292975,-0.175558
1008,0.293875,-0.165183
1009,0.294717,-0.154836
1010,0.295502,-0.144518
1011,0.29623,-0.134225
1012,0.296902,-0.123955
1013,0.297517,-0.113708
1014,0.298076,-0.10348
1015,0.29858,-0.0932709
1016,0.299028,-0.0830779
1017,0.29942,-0.0728995
1018,0.299758,-0.0627339
1019,0.300041,-0.0525791
1020,0.300268,-0.0424336
1021,0.300441,-0.0322954
1022,0.300559,-0.0221628
1023,0.300623,-0.0120341
